selling_price,km_driven,fuel,transmission,owner,mileage,engine,torque,seats,max_power_hp,car_age,predicted_price,Make,Model
425000,86300,3.0,0,1,16.8,1497,146.0,5.0,116.3,11,365426.05000000016,8,32
675000,23300,3.0,1,1,18.5,1197,115.0,5.0,83.14,6,675000.0,17,122
819999,32600,2.0,0,1,24.3,1248,200.0,5.0,88.5,6,819999.0,17,133
390000,10300,3.0,0,1,23.95,998,90.0,5.0,67.05,6,390000.0,17,10
1500000,77000,2.0,0,1,12.55,2982,343.0,7.0,168.5,10,1114520.715,24,59
1450000,27800,2.0,1,2,14.8,2143,200.0,5.0,120.7,10,1260081.9000000001,18,17
425000,49800,2.0,0,1,24.7,1498,200.0,5.0,98.63,9,425000.0,8,11
1090000,151000,2.0,0,1,13.5,2477,400.0,7.0,175.56,11,764891.43885,19,95
600000,54700,2.0,0,1,26.0,1498,200.0,5.0,98.6,9,566105.76,8,32
850000,64000,3.0,0,1,20.65,1462,138.0,5.0,103.25,6,850000.0,17,31
525000,63000,2.0,0,1,27.3,1498,200.0,5.0,98.6,9,495342.5400000001,8,75
1650000,127700,2.0,1,2,11.36,2755,360.0,7.0,171.5,8,1355022.5535000002,24,74
950000,99000,2.0,0,1,12.99,2494,200.0,7.0,100.6,8,705863.1195000001,24,74
1750000,33900,2.0,1,2,17.68,1968,380.0,5.0,174.33,11,1459342.5000000002,1,7
1590000,25000,3.0,1,1,14.28,1798,173.0,5.0,138.03,6,1447542.3599999999,24,36
1689999,50000,2.0,1,1,18.53,1968,400.0,5.0,187.74,11,1476416.9263800005,1,7
265000,120000,2.0,0,1,21.12,1248,200.0,5.0,88.8,13,236139.48600000003,23,85
190000,110000,3.0,0,3,20.36,1197,111.7,5.0,78.9,13,169307.556,9,147
425000,60000,2.0,0,1,21.27,1396,219.6,5.0,88.76,11,378714.2700000001,9,148
600000,25000,3.0,0,3,18.16,1196,112.0,5.0,86.8,7,524172.00000000006,7,57
650000,30000,3.0,0,1,21.4,1197,115.0,5.0,83.1,5,650000.0,17,20
540000,40000,2.0,0,1,22.0,1498,250.0,5.0,108.495,8,540000.0,25,12
630000,135000,2.0,0,1,25.1,1498,200.0,5.0,98.6,9,594411.0480000001,8,32
500000,80000,2.0,0,1,21.66,1498,250.0,5.0,108.62,7,471754.8000000001,25,12
745000,70000,2.0,0,1,24.3,1248,200.0,5.0,88.5,8,702914.6520000001,17,133
1025000,9850,2.0,1,1,24.3,1248,200.0,5.0,88.5,5,1025000.0,17,133
235000,60000,3.0,0,2,20.36,1197,111.7,5.0,78.9,13,231449.52600000004,9,147
1700000,78000,2.0,0,2,12.55,2982,343.0,7.0,168.5,9,1205708.7735000001,24,59
450000,120000,3.0,0,2,16.02,1373,130.0,7.0,93.7,12,387801.0675000001,17,53
450000,170000,2.0,0,1,20.54,1598,250.0,5.0,103.6,11,346310.91000000003,25,129
1200000,140000,2.0,0,1,12.99,2494,200.0,8.0,100.6,8,891616.5720000003,24,74
610000,90000,2.0,0,1,22.77,1498,205.0,5.0,98.59,9,575540.8560000001,7,46
484999,10000,3.0,0,1,23.1,998,90.0,5.0,67.04,7,484999.0,17,30
275000,49000,3.0,0,1,19.02,1198,104.0,5.0,67.05,8,275000.0,4,62
315000,32000,3.0,0,1,24.7,796,69.0,5.0,47.3,8,315000.0,17,10
275000,38000,3.0,0,1,24.7,796,69.0,5.0,47.3,8,275000.0,17,10
290000,28000,3.0,0,1,19.81,1086,99.04,5.0,68.05,12,290000.0,9,147
225000,44000,1.0,0,1,26.2,998,77.0,5.0,58.2,14,188972.784,17,135
351000,45000,3.0,0,2,19.81,1086,99.04,5.0,68.05,9,338918.58,9,147
535000,12000,3.0,0,2,15.04,1598,153.0,5.0,103.6,12,446141.85000000003,25,129
175000,55500,3.0,0,1,18.2,998,90.0,5.0,67.1,15,125847.26,17,145
525000,61500,3.0,0,1,18.5,1197,113.7,5.0,82.85,11,451408.6500000001,9,148
120000,68000,3.0,0,3,19.7,796,62.0,5.0,46.3,16,74527.72800000002,17,10
725000,110000,2.0,0,1,22.54,1396,219.7,5.0,88.73,7,684044.4600000001,9,148
185000,77000,3.0,0,2,21.79,998,90.0,5.0,67.05,15,152389.59120000002,17,135
615000,10000,3.0,0,1,21.21,1197,113.0,5.0,81.8,5,615000.0,17,122
610000,35000,3.0,0,1,21.4,1197,115.0,5.0,83.1,6,610000.0,17,20
400000,5000,3.0,0,2,19.0,1194,120.0,5.0,94.68,4,400000.0,7,60
866000,37800,3.0,0,1,17.0,1591,151.0,5.0,121.3,7,756554.9200000002,9,132
375000,100000,2.0,0,1,19.09,1405,135.0,5.0,69.01,8,294846.75,23,73
522000,150000,2.0,0,2,22.32,1582,259.8,5.0,126.32,11,383460.6258,9,132
451999,69000,2.0,0,1,21.9,1396,219.6,5.0,88.76,11,402772.87370760005,9,148
300000,100000,3.0,0,2,14.53,1798,173.0,5.0,138.1,15,191382.345,24,36
475000,13000,3.0,0,1,21.63,998,90.0,5.0,67.04,4,475000.0,17,30
780000,60000,2.0,0,1,24.3,1248,200.0,5.0,88.5,8,735937.4880000001,17,133
595000,40000,3.0,0,1,20.85,1197,115.0,5.0,83.14,7,595000.0,17,122
440000,35000,3.0,0,1,20.51,998,90.0,5.0,67.04,7,440000.0,17,135
400000,70000,2.0,0,3,20.45,1461,200.0,5.0,83.8,10,325939.68,20,125
1140000,50000,2.0,0,1,19.67,1582,259.9,5.0,126.2,8,860118.6000000001,9,37
850000,76139,2.0,0,1,23.0,1498,205.0,5.0,98.96,7,801983.1600000003,7,46
370000,175000,2.0,0,4,19.3,1248,190.0,5.0,73.9,12,224798.31000000003,17,122
360000,40000,3.0,0,2,23.1,998,90.0,5.0,67.04,9,348872.8320000001,17,30
105000,65000,3.0,0,4,19.7,796,62.0,5.0,46.3,16,61779.564000000006,17,10
625000,90000,2.0,0,2,20.77,1248,200.0,7.0,88.76,11,558198.50625,17,53
135000,80000,3.0,0,2,17.92,1086,96.1,5.0,62.1,15,110800.30500000002,9,113
700000,110000,2.0,0,2,20.77,1248,200.0,7.0,88.76,9,661957.7580000001,17,53
690000,1303,3.0,0,1,17.8,1198,109.0,5.0,86.7,5,690000.0,8,11
5150000,20000,3.0,1,1,22.37,2487,202.0,5.0,214.56,5,5150000.0,15,45
4500000,21000,2.0,1,1,12.83,1999,382.0,7.0,148.31,5,4500000.0,14,106
6000000,37000,2.0,1,1,13.5,2987,620.0,5.0,254.79,7,5462424.0,18,107
3790000,29500,2.0,1,1,22.48,1995,400.0,5.0,187.74,6,3790000.0,2,1
1864999,50000,3.0,1,1,14.67,1798,250.0,5.0,177.46,6,1697902.5495960007,22,121
795000,41000,3.0,1,1,18.0,1497,145.0,5.0,117.6,7,795000.0,8,32
625000,39000,3.0,1,1,14.28,1798,173.0,5.0,138.03,11,569002.5000000002,24,36
2650000,53000,2.0,1,1,12.07,2967,550.0,7.0,241.4,9,2279879.2170000006,1,102
535000,40000,2.0,0,1,26.21,1248,200.0,5.0,88.5,9,535000.0,17,31
805000,49900,3.0,0,1,16.3,1797,177.5,5.0,147.5,8,703264.1000000001,9,49
811000,11000,3.0,0,1,17.0,1198,170.0,5.0,108.5,6,811000.0,23,90
375000,49000,3.0,0,1,15.04,1598,153.0,5.0,103.6,13,327607.5,25,129
550000,95000,3.0,0,1,16.3,1797,177.5,5.0,147.5,12,408417.3500000001,9,49
645000,11000,3.0,1,1,14.3,1598,153.0,5.0,103.5,8,587210.5800000001,22,103
599000,46100,3.0,0,1,16.02,1373,130.0,7.0,93.7,10,599000.0,17,53
2700000,16000,3.0,1,1,14.74,1991,300.0,5.0,181.04,7,2458090.8,18,89
875000,18000,3.0,1,1,15.6,1497,146.0,5.0,116.3,7,875000.0,8,32
894999,9654,3.0,1,1,19.56,1197,113.0,5.0,81.8,5,894999.0,24,65
175000,11000,3.0,0,1,23.95,998,90.0,5.0,67.05,13,175000.0,17,10
340000,24300,3.0,0,1,21.21,1197,113.0,5.0,81.8,12,340000.0,17,122
1525000,42163,2.0,1,2,11.36,2755,360.0,7.0,171.5,8,1391521.4775,24,74
1025000,8000,2.0,1,1,21.5,1497,260.0,5.0,108.5,6,1025000.0,23,90
1900000,41000,3.0,1,1,19.16,2494,213.0,5.0,157.7,8,1900000.0,24,27
450000,71000,3.0,1,1,12.1,2362,224.0,5.0,164.7,15,403213.14000000013,24,27
850000,20000,3.0,0,1,17.5,1373,130.0,7.0,91.1,8,850000.0,17,53
300000,100000,2.0,0,2,20.54,1598,250.0,5.0,103.6,13,220379.66999999998,25,129
575000,9500,3.0,0,1,18.16,1196,112.0,5.0,86.8,6,575000.0,7,57
515000,36600,3.0,0,1,20.4,1197,113.0,5.0,81.8,9,515000.0,17,122
550000,14000,3.0,0,2,18.6,1197,114.7,5.0,81.83,8,531069.0000000001,9,148
220000,120000,2.0,0,1,21.1,1248,113.0,5.0,73.9,14,196040.32800000004,17,105
487000,35000,3.0,0,1,19.1,1197,114.0,5.0,85.8,10,487000.0,17,122
300000,60000,2.0,0,1,21.43,1364,205.0,5.0,87.2,14,267327.72000000003,24,36
1750000,30000,2.0,0,2,13.0,2982,343.0,7.0,168.5,10,1379078.6625,24,59
215000,120600,3.0,0,2,18.9,998,90.0,5.0,67.1,14,147584.51400000002,17,135
320000,100000,3.0,0,3,16.2,1599,14.9,5.0,103.2,14,205221.28,9,132
459999,60000,3.0,0,2,20.85,1197,115.0,5.0,83.14,8,459999.0,17,122
720000,5000,3.0,0,1,18.6,1197,117.0,5.0,81.86,4,720000.0,9,50
800000,37000,2.0,0,1,28.09,1248,200.0,5.0,88.5,7,800000.0,17,31
580000,70000,2.0,0,1,20.77,1248,200.0,7.0,88.76,9,574597.3464000002,17,53
600000,50000,3.0,0,1,17.4,1497,145.0,5.0,117.3,9,600000.0,8,32
290000,60000,3.0,0,2,19.4,1198,109.0,5.0,86.8,10,252016.38000000006,8,24
360000,50000,,0,1,26.6,998,77.0,5.0,58.16,8,332259.8400000001,17,135
550000,50000,3.0,0,1,20.85,1197,115.0,5.0,83.14,7,550000.0,17,122
375000,70000,3.0,0,1,18.5,1197,113.7,5.0,82.85,11,322434.75000000006,9,148
550000,20000,3.0,0,1,21.21,1197,113.0,5.0,81.8,7,550000.0,17,122
270000,20000,3.0,0,1,24.7,796,69.0,5.0,47.3,6,270000.0,17,10
700000,7800,3.0,1,1,22.0,1197,113.0,5.0,81.8,6,700000.0,17,122
500000,20000,3.0,0,1,20.4,1197,113.0,5.0,81.8,7,500000.0,17,122
1250000,15000,2.0,0,1,17.6,2179,320.0,7.0,147.94,5,1250000.0,23,70
320000,31377,3.0,0,2,18.5,1197,113.7,5.0,82.85,11,308985.60000000003,9,148
700000,50000,2.0,0,1,28.4,1248,190.0,5.0,74.02,6,700000.0,17,122
290000,60000,3.0,0,1,20.51,998,90.0,5.0,67.04,9,264977.2224000001,17,135
550000,100000,3.0,1,1,14.53,1794,173.0,5.0,138.1,12,425613.87000000005,24,36
265000,60000,3.0,0,1,19.4,1198,109.0,5.0,86.8,12,227853.89000000007,8,24
830000,5000,3.0,1,1,21.4,1197,115.0,5.0,83.1,6,830000.0,17,20
800000,60000,2.0,0,1,14.1,2179,320.0,7.0,147.94,7,594411.0480000001,23,110
160000,25000,3.0,0,2,19.7,796,62.0,5.0,46.3,13,129212.16,17,10
335000,30000,3.0,0,1,25.17,799,72.0,5.0,53.3,6,335000.0,21,77
775000,75000,2.0,0,1,24.3,1248,200.0,5.0,88.5,7,731219.9400000002,17,133
524000,32000,3.0,0,1,20.14,1197,113.75,5.0,81.86,4,524000.0,9,140
245000,40000,3.0,0,1,22.74,796,69.0,5.0,47.3,9,245000.0,17,10
520000,60000,3.0,0,1,17.57,1193,140.0,5.0,88.7,6,473410.0800000002,23,146
550000,37000,3.0,0,1,16.95,1498,134.0,5.0,97.7,10,550000.0,20,120
910000,15000,3.0,0,1,17.0,1497,150.0,5.0,121.36,6,910000.0,7,46
300000,80000,3.0,0,1,19.49,1198,104.0,5.0,67.04,9,273121.2,20,86
350000,140000,3.0,0,1,20.51,998,90.0,5.0,67.04,8,319800.09600000014,17,135
250000,110000,2.0,0,2,21.1,1248,190.0,5.0,73.9,14,212647.05000000002,17,105
1100000,37000,2.0,0,1,19.67,1582,259.9,5.0,126.2,7,829939.0000000001,9,37
270000,44000,3.0,0,1,25.17,799,72.0,5.0,53.3,8,270000.0,21,77
640000,80000,2.0,0,1,20.77,1248,200.0,7.0,88.76,9,634038.4512000002,17,53
165000,75000,3.0,0,1,17.92,1086,96.1,5.0,62.1,13,141871.29,9,113
700000,70000,2.0,0,1,12.99,2494,200.0,7.0,100.57,11,491214.6855000001,24,74
680000,15000,3.0,1,1,19.0,1199,110.0,5.0,88.76,5,680000.0,8,11
200000,53000,3.0,0,2,20.36,1197,111.8,5.0,78.9,15,196978.32000000004,9,147
1000000,70000,2.0,0,1,24.52,1248,200.0,7.0,88.5,8,990685.0800000003,17,53
110000,120000,3.0,0,2,14.2,1341,11.8,5.0,82.9,16,81253.557,9,64
350000,100000,3.0,0,1,20.4,1197,113.0,5.0,83.11,9,350000.0,17,122
800000,39000,2.0,0,1,22.54,1396,219.7,5.0,88.73,7,800000.0,9,148
1380000,50000,2.0,1,1,17.6,2179,400.0,7.0,153.86,7,1380000.0,23,70
530000,92500,2.0,0,1,22.32,1582,259.9,5.0,126.3,11,407877.29400000005,9,132
310000,120000,2.0,0,1,19.3,1248,190.0,5.0,73.9,12,230198.87000000005,17,122
725000,50000,2.0,0,2,26.0,1498,200.0,5.0,98.6,9,725000.0,8,32
340000,110000,2.0,0,1,19.3,1248,190.0,5.0,73.9,12,252476.18000000002,17,122
550000,2000,2.0,0,2,25.4,1186,190.25,5.0,73.97,7,550000.0,9,140
350000,90000,3.0,1,2,17.97,1498,134.0,5.0,99.6,11,332616.9,20,120
610000,2000,3.0,0,1,18.6,1197,117.0,5.0,81.86,5,610000.0,9,50
525000,20000,3.0,0,1,20.85,1197,115.0,5.0,83.14,9,525000.0,17,122
320000,193000,2.0,0,1,19.3,1248,190.0,5.0,73.9,12,237624.64000000007,17,122
375000,80000,3.0,0,1,20.4,1197,113.0,5.0,81.8,10,375000.0,17,122
300000,40000,3.0,0,1,19.02,1198,104.0,5.0,67.05,5,300000.0,4,62
500000,70000,2.0,0,4,22.54,1396,219.7,5.0,88.73,9,385981.20000000007,9,148
500000,75000,2.0,0,1,14.07,2956,223.0,7.0,69.01,9,371506.905,23,119
380000,40000,3.0,0,1,17.57,1193,140.0,5.0,88.7,9,380000.0,23,146
335000,33033,3.0,0,1,19.4,1198,109.0,5.0,86.8,10,335000.0,8,24
290000,60000,2.0,0,1,21.02,1248,200.0,5.0,88.76,12,258416.79600000006,23,85
110000,45000,3.0,0,2,19.7,796,62.0,5.0,46.3,19,88833.36000000002,17,10
450000,80000,2.0,0,3,11.57,2179,320.0,7.0,138.1,13,272719.841625,23,89
220000,35000,3.0,0,1,16.8,796,59.0,8.0,34.2,8,195433.39200000008,17,92
290000,50000,3.0,1,1,16.95,1197,111.8,5.0,78.9,11,290000.0,9,147
520000,20000,3.0,0,1,20.4,1197,113.0,5.0,81.8,8,520000.0,17,122
265000,20000,3.0,1,1,16.95,1197,111.8,5.0,78.9,13,265000.0,9,147
330000,50000,3.0,0,2,18.6,1197,114.0,5.0,85.8,12,318641.4,17,122
330000,50000,3.0,0,2,18.6,1197,114.0,5.0,85.8,12,318641.4,17,122
509999,120000,2.0,0,1,15.96,2523,195.0,7.0,62.1,10,421040.3334291001,16,22
500000,70000,3.0,0,1,17.1,1591,154.9,5.0,121.3,10,393129.0000000001,9,132
525000,50000,3.0,0,1,17.19,1197,114.73,5.0,81.86,9,525000.0,9,148
675000,16500,3.0,0,1,21.01,1197,113.0,5.0,81.8,5,675000.0,17,20
90000,99361,3.0,0,2,19.7,796,62.0,5.0,46.3,19,61779.564,17,10
409000,70000,3.0,0,2,19.1,1197,114.0,5.0,85.8,10,355429.998,17,122
400000,70000,3.0,0,2,19.1,1197,114.0,5.0,85.8,10,347608.80000000005,17,122
120000,60000,3.0,0,3,18.6,1199,108.0,5.0,79.4,12,89109.24000000002,3,21
1300000,30000,2.0,0,1,25.6,1498,200.0,5.0,97.9,7,1300000.0,8,32
1250000,33000,2.0,0,1,25.6,1498,200.0,5.0,97.9,7,1250000.0,8,32
535000,90000,3.0,0,3,16.02,1373,130.0,7.0,93.7,11,417142.62975000014,17,53
555000,80100,2.0,0,2,19.01,1461,248.0,5.0,108.5,10,416538.04500000004,20,125
725000,120000,3.0,0,1,17.4,1497,145.0,5.0,117.3,10,660042.9000000001,8,32
229999,40000,3.0,0,1,25.17,799,72.0,5.0,53.3,8,229999.0,21,77
800000,160000,2.0,0,2,12.99,2494,200.0,8.0,100.6,11,535870.5660000001,24,74
409999,47000,3.0,0,1,20.51,998,90.0,5.0,67.04,7,409999.0,17,135
1210000,25000,2.0,0,1,21.38,1396,219.7,5.0,88.7,6,1210000.0,9,37
520000,29000,2.0,0,1,24.0,1186,190.24,5.0,73.97,6,520000.0,9,66
650000,50000,3.0,1,1,21.4,1197,115.0,5.0,83.1,8,650000.0,17,20
325000,58000,3.0,0,3,16.1,1298,11.5,5.0,88.2,13,241337.525,17,122
420000,120000,3.0,1,1,17.4,1197,114.0,5.0,85.8,12,418146.9600000002,17,122
400000,50000,3.0,0,1,20.4,1197,113.0,5.0,81.8,10,400000.0,17,122
351000,36000,3.0,0,1,23.1,998,90.0,5.0,67.04,7,351000.0,17,30
185000,185000,2.0,0,3,21.1,1248,190.0,5.0,73.9,13,142372.263,17,105
250000,50000,2.0,0,1,23.08,1461,160.0,5.0,63.1,13,250000.0,20,86
500000,50000,3.0,0,2,17.1,1591,154.9,5.0,121.3,11,416955.00000000006,9,132
85000,80000,3.0,0,2,18.2,998,90.0,5.0,67.1,17,58347.366,17,145
85000,80000,3.0,0,4,19.7,796,62.0,5.0,46.3,19,50012.028,17,10
265000,90000,2.0,0,4,19.3,1248,190.0,5.0,73.9,13,161004.195,17,122
130000,162000,3.0,0,2,19.0,998,90.0,5.0,66.1,14,89237.14800000002,17,4
480000,110000,2.0,0,3,20.77,1248,200.0,7.0,88.76,11,387868.2192,17,53
275000,45000,2.0,0,1,23.08,1461,160.0,5.0,63.1,13,275000.0,20,86
89000,90000,3.0,0,2,18.9,998,90.0,5.0,67.1,19,61093.12439999999,17,135
1100000,67000,2.0,1,1,17.01,1582,259.9,5.0,126.2,7,864883.8000000003,9,37
610000,52000,3.0,0,1,22.0,1197,113.0,5.0,81.8,6,610000.0,17,122
3000000,35000,2.0,0,1,14.24,2755,420.0,7.0,174.5,6,2476712.7,24,59
390000,13000,3.0,0,1,20.71,799,72.0,5.0,53.26,6,390000.0,21,77
325000,40000,3.0,0,1,18.5,1198,109.0,5.0,86.8,12,325000.0,8,24
640000,10000,3.0,0,1,17.0,1198,110.0,5.0,73.75,5,640000.0,25,12
450000,9000,3.0,0,1,16.95,1498,134.0,5.0,97.7,12,450000.0,20,120
400000,70000,2.0,0,2,23.59,1364,170.0,5.0,67.06,11,340235.28,24,54
215000,60000,3.0,0,1,20.36,1197,111.8,5.0,78.9,15,215000.0,9,147
570000,40000,2.0,0,1,20.45,1461,200.0,5.0,83.8,10,570000.0,21,41
150000,50000,3.0,0,2,15.64,1193,100.0,5.0,64.08,13,144837.0,23,73
690000,68000,3.0,1,1,14.5,1797,177.5,5.0,147.5,11,533951.946,9,49
64000,18000,3.0,0,1,25.4,624,51.0,4.0,37.5,12,64000.0,23,88
250000,120000,2.0,0,1,23.08,1461,160.0,5.0,63.1,11,222773.10000000003,20,86
65000,35000,3.0,0,1,18.9,998,90.0,5.0,67.1,19,54992.080000000016,17,135
140000,70000,3.0,0,4,20.36,1197,111.7,5.0,78.9,14,118186.99200000001,9,147
300000,30000,3.0,0,1,25.17,799,72.0,5.0,53.3,8,300000.0,21,77
800000,70000,3.0,1,1,16.34,1798,250.0,5.0,189.3,8,728323.2000000002,25,63
5150000,20000,3.0,1,1,22.37,2487,202.0,5.0,214.56,5,5150000.0,15,45
503000,110000,2.0,0,1,14.1,2179,320.0,7.0,147.94,9,373735.94643,23,110
2000000,68089,3.0,1,1,19.16,2494,213.0,5.0,157.7,8,2000000.0,24,27
225000,58343,3.0,0,1,21.79,998,90.0,5.0,67.05,11,194164.34400000007,17,135
550000,56494,3.0,0,1,18.2,1199,110.0,5.0,88.7,8,500722.2000000001,8,75
750000,79328,2.0,0,2,12.99,2494,200.0,7.0,100.6,11,502378.655625,24,74
650000,5621,3.0,1,1,22.0,1197,113.0,5.0,81.8,5,650000.0,17,122
625000,25538,3.0,0,1,16.78,1496,132.0,5.0,88.73,7,625000.0,24,54
600000,69779,3.0,1,1,22.0,1197,113.0,5.0,81.8,6,600000.0,17,122
450000,56290,2.0,0,1,24.0,1186,190.24,5.0,73.97,7,424579.3200000001,9,66
779000,7032,3.0,1,1,19.0,1199,110.0,5.0,88.76,5,779000.0,8,11
645000,11000,3.0,1,1,14.3,1598,153.0,5.0,103.5,8,587210.5800000001,22,103
150000,106000,3.0,0,3,20.36,1197,111.7,5.0,78.9,14,133663.86000000002,9,147
500000,120000,3.0,1,2,11.1,2354,218.0,5.0,158.8,15,427650.30000000016,8,26
535000,70000,2.0,0,3,22.32,1582,259.8,5.0,126.32,10,376497.369,9,132
300000,100000,2.0,0,2,21.5,1248,200.0,5.0,88.8,12,255176.46000000002,17,109
340000,214000,3.0,0,2,13.9,1599,14.9,5.0,103.2,15,216899.99099999995,9,132
240000,50000,3.0,0,1,22.74,796,69.0,5.0,47.3,8,240000.0,17,10
1085000,1000,3.0,1,1,18.0,1497,145.0,5.0,117.6,6,1085000.0,8,32
750000,19000,2.0,1,1,28.4,1248,190.0,5.0,74.02,7,750000.0,17,122
409999,35000,,0,1,20.88,1196,85.0,5.0,61.7,4,409999.0,17,48
215000,80000,3.0,0,2,23.95,998,90.0,5.0,67.05,10,187519.14720000006,17,10
150000,80000,3.0,0,1,20.92,998,90.0,5.0,67.1,14,129442.89600000001,17,10
219000,50000,3.0,0,2,21.1,814,74.5,5.0,55.2,11,212230.97280000005,9,44
5150000,20000,3.0,1,1,22.37,2487,202.0,5.0,214.56,5,5150000.0,15,45
503000,110000,2.0,0,1,14.1,2179,320.0,7.0,147.94,9,373735.94643,23,110
2000000,68089,3.0,1,1,19.16,2494,213.0,5.0,157.7,8,2000000.0,24,27
225000,58343,3.0,0,1,21.79,998,90.0,5.0,67.05,11,194164.34400000007,17,135
550000,56494,3.0,0,1,18.2,1199,110.0,5.0,88.7,8,500722.2000000001,8,75
750000,79328,2.0,0,2,12.99,2494,200.0,7.0,100.6,11,502378.655625,24,74
650000,5621,3.0,1,1,22.0,1197,113.0,5.0,81.8,5,650000.0,17,122
625000,25538,3.0,0,1,16.78,1496,132.0,5.0,88.73,7,625000.0,24,54
600000,69779,3.0,1,1,22.0,1197,113.0,5.0,81.8,6,600000.0,17,122
450000,56290,2.0,0,1,24.0,1186,190.24,5.0,73.97,7,424579.3200000001,9,66
779000,7032,3.0,1,1,19.0,1199,110.0,5.0,88.76,5,779000.0,8,11
645000,11000,3.0,1,1,14.3,1598,153.0,5.0,103.5,8,587210.5800000001,22,103
700000,40000,2.0,1,1,23.8,1498,160.0,5.0,78.9,5,700000.0,8,11
950000,45000,2.0,0,1,21.38,1396,219.7,5.0,88.7,7,950000.0,9,37
160000,80000,3.0,0,2,19.7,796,62.0,5.0,46.3,14,109830.336,17,10
409999,135000,2.0,0,2,24.4,1120,180.4,5.0,71.01,9,369254.44737720006,9,140
840000,120000,2.0,0,2,12.99,2494,200.0,7.0,100.6,9,595761.9822000001,24,74
450000,67000,2.0,0,1,23.59,1364,170.0,5.0,67.1,11,400991.5800000001,24,54
900000,50000,2.0,0,1,28.4,1248,190.0,5.0,74.02,7,900000.0,17,122
254999,110000,2.0,0,2,23.08,1461,160.0,5.0,63.1,13,216899.14041179998,20,86
520000,110000,2.0,0,2,20.14,1498,230.0,5.0,88.8,9,468323.8560000001,25,97
229999,170000,2.0,0,2,21.0,1461,160.0,5.0,64.1,13,195634.4354118,16,131
409999,93000,3.0,0,1,19.1,1197,113.75,5.0,81.86,9,373264.7295960001,9,140
320000,50000,3.0,0,1,23.1,998,90.0,5.0,67.04,10,320000.0,17,30
292000,70000,2.0,0,1,20.0,1399,160.0,5.0,68.05,9,229587.33600000004,7,57
390000,80000,2.0,0,1,13.93,2179,320.0,7.0,138.03,12,273676.7533500001,23,110
550000,44000,3.0,0,1,18.16,1196,112.0,5.0,86.8,8,550000.0,7,57
385000,25000,3.0,0,1,23.1,998,90.0,5.0,67.04,10,385000.0,17,30
800000,25000,3.0,0,1,15.29,1591,151.0,5.0,121.3,8,698896.0000000001,9,37
675000,10000,3.0,0,1,21.21,1197,113.0,5.0,81.8,5,675000.0,17,122
1525000,50000,2.0,0,1,17.6,2179,400.0,7.0,153.86,6,1398884.0250000001,23,70
950000,30000,2.0,0,1,23.0,1498,205.0,5.0,98.96,6,950000.0,7,46
610000,50000,2.0,0,2,21.19,1396,219.66,5.0,88.73,9,610000.0,9,148
