name,selling_price,km_driven,fuel,transmission,owner,mileage,engine,torque,seats,max_power_hp,car_age,predicted_price,Make,Model
Maruti Vitara Brezza LDi,650000,16200,2.0,0,1,24.3,1248,200.0,5.0,88.5,7,650000.0,17,133
Maruti Alto 800 CNG LXI Optional,330000,10000,,0,2,33.44,796,60.0,4.0,40.3,5,330000.0,17,10
Maruti Alto K10 VXI Airbag,366000,15000,3.0,0,1,23.95,998,90.0,5.0,67.1,5,366000.0,17,10
Hyundai Verna VTVT 1.6 SX Option,1149000,5000,3.0,0,1,17.0,1591,151.0,5.0,121.3,5,1149000.0,9,132
Tata Safari DICOR 2.2 LX 4x2,425000,60000,2.0,0,2,13.93,2179,320.0,7.0,138.03,13,284681.23818750004,23,110
Jeep Compass 1.4 Limited Plus BSIV,2100000,5000,3.0,1,1,16.0,1368,250.0,5.0,160.77,5,2100000.0,12,35
Honda City i VTEC VX,925000,28900,3.0,0,1,17.8,1497,145.0,5.0,117.3,6,925000.0,8,32
Honda City V MT,425000,86300,3.0,0,1,16.8,1497,146.0,5.0,116.3,11,365426.05000000016,8,32
Maruti Swift Dzire VXi AT,675000,23300,3.0,1,1,18.5,1197,115.0,5.0,83.14,6,675000.0,17,122
Maruti Vitara Brezza VDi,819999,32600,2.0,0,1,24.3,1248,200.0,5.0,88.5,6,819999.0,17,133
Maruti Alto K10 VXI,390000,10300,3.0,0,1,23.95,998,90.0,5.0,67.05,6,390000.0,17,10
Toyota Fortuner 4x4 MT,1500000,77000,2.0,0,1,12.55,2982,343.0,7.0,168.5,10,1114520.715,24,59
Mercedes-Benz B Class B180,1450000,27800,2.0,1,2,14.8,2143,200.0,5.0,120.7,10,1260081.9000000001,18,17
Honda Amaze S Diesel,425000,49800,2.0,0,1,24.7,1498,200.0,5.0,98.63,9,425000.0,8,11
Mitsubishi Pajero Sport 4X4,1090000,151000,2.0,0,1,13.5,2477,400.0,7.0,175.56,11,764891.43885,19,95
Honda City i DTEC S,600000,54700,2.0,0,1,26.0,1498,200.0,5.0,98.6,9,566105.76,8,32
Maruti Ciaz Zeta,850000,64000,3.0,0,1,20.65,1462,138.0,5.0,103.25,6,850000.0,17,31
Honda Jazz VX Diesel,525000,63000,2.0,0,1,27.3,1498,200.0,5.0,98.6,9,495342.5400000001,8,75
Toyota Innova Crysta 2.8 ZX AT BSIV,1650000,127700,2.0,1,2,11.36,2755,360.0,7.0,171.5,8,1355022.5535000002,24,74
Toyota Innova 2.5 G (Diesel) 7 Seater,950000,99000,2.0,0,1,12.99,2494,200.0,7.0,100.6,8,705863.1195000001,24,74
Audi A6 2.0 TDI Technology,1750000,33900,2.0,1,2,17.68,1968,380.0,5.0,174.33,11,1459342.5000000002,1,7
Toyota Corolla Altis 1.8 VL CVT,1590000,25000,3.0,1,1,14.28,1798,173.0,5.0,138.03,6,1447542.3599999999,24,36
Audi A6 2.0 TDI  Design Edition,1689999,50000,2.0,1,1,18.53,1968,400.0,5.0,187.74,11,1476416.9263800005,1,7
Tata Manza ELAN Quadrajet BS IV,265000,120000,2.0,0,1,21.12,1248,200.0,5.0,88.8,13,236139.48600000003,23,85
Hyundai i10 Magna,190000,110000,3.0,0,3,20.36,1197,111.7,5.0,78.9,13,169307.556,9,147
Hyundai i20 Asta 1.4 CRDi,425000,60000,2.0,0,1,21.27,1396,219.6,5.0,88.76,11,378714.2700000001,9,148
Ford Figo 1.2P Titanium MT,600000,25000,3.0,0,3,18.16,1196,112.0,5.0,86.8,7,524172.00000000006,7,57
Maruti Baleno Delta 1.2,650000,30000,3.0,0,1,21.4,1197,115.0,5.0,83.1,5,650000.0,17,20
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,540000,40000,2.0,0,1,22.0,1498,250.0,5.0,108.495,8,540000.0,25,12
Honda City i DTEC VX,630000,135000,2.0,0,1,25.1,1498,200.0,5.0,98.6,9,594411.0480000001,8,32
Volkswagen Ameo 1.5 TDI Comfortline,500000,80000,2.0,0,1,21.66,1498,250.0,5.0,108.62,7,471754.8000000001,25,12
Maruti Vitara Brezza VDi,745000,70000,2.0,0,1,24.3,1248,200.0,5.0,88.5,8,702914.6520000001,17,133
Maruti Vitara Brezza ZDi Plus AMT,1025000,9850,2.0,1,1,24.3,1248,200.0,5.0,88.5,5,1025000.0,17,133
Hyundai i10 Magna,235000,60000,3.0,0,2,20.36,1197,111.7,5.0,78.9,13,231449.52600000004,9,147
Toyota Fortuner 4x4 MT,1700000,78000,2.0,0,2,12.55,2982,343.0,7.0,168.5,9,1205708.7735000001,24,59
Maruti Ertiga ZXI,450000,120000,3.0,0,2,16.02,1373,130.0,7.0,93.7,12,387801.0675000001,17,53
Volkswagen Vento Diesel Highline,450000,170000,2.0,0,1,20.54,1598,250.0,5.0,103.6,11,346310.91000000003,25,129
Toyota Innova 2.5 VX (Diesel) 8 Seater,1200000,140000,2.0,0,1,12.99,2494,200.0,8.0,100.6,8,891616.5720000003,24,74
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,610000,90000,2.0,0,1,22.77,1498,205.0,5.0,98.59,9,575540.8560000001,7,46
Maruti Celerio ZXI MT BSIV,484999,10000,3.0,0,1,23.1,998,90.0,5.0,67.04,7,484999.0,17,30
Datsun GO A Petrol,275000,49000,3.0,0,1,19.02,1198,104.0,5.0,67.05,8,275000.0,4,62
Maruti Alto 800 VXI BSIV,315000,32000,3.0,0,1,24.7,796,69.0,5.0,47.3,8,315000.0,17,10
Maruti Alto 800 LXI BSIV,275000,38000,3.0,0,1,24.7,796,69.0,5.0,47.3,8,275000.0,17,10
Hyundai i10 Era 1.1,290000,28000,3.0,0,1,19.81,1086,99.04,5.0,68.05,12,290000.0,9,147
Maruti Wagon R LXI LPG BSIV,225000,44000,1.0,0,1,26.2,998,77.0,5.0,58.2,14,188972.784,17,135
Hyundai i10 Magna 1.1L,351000,45000,3.0,0,2,19.81,1086,99.04,5.0,68.05,9,338918.58,9,147
Volkswagen Vento Petrol Highline,535000,12000,3.0,0,2,15.04,1598,153.0,5.0,103.6,12,446141.85000000003,25,129
Maruti Zen Estilo LXI BSIII,175000,55500,3.0,0,1,18.2,998,90.0,5.0,67.1,15,125847.26,17,145
Hyundai i20 Asta Optional with Sunroof 1.2,525000,61500,3.0,0,1,18.5,1197,113.7,5.0,82.85,11,451408.6500000001,9,148
Maruti Alto LX BSIII,120000,68000,3.0,0,3,19.7,796,62.0,5.0,46.3,16,74527.72800000002,17,10
Hyundai i20 1.4 Asta Option,725000,110000,2.0,0,1,22.54,1396,219.7,5.0,88.73,7,684044.4600000001,9,148
Maruti Wagon R VXI,185000,77000,3.0,0,2,21.79,998,90.0,5.0,67.05,15,152389.59120000002,17,135
Maruti Swift VXI,615000,10000,3.0,0,1,21.21,1197,113.0,5.0,81.8,5,615000.0,17,122
Maruti Baleno Zeta 1.2,610000,35000,3.0,0,1,21.4,1197,115.0,5.0,83.1,6,610000.0,17,20
Ford Freestyle Titanium Petrol BSIV,400000,5000,3.0,0,2,19.0,1194,120.0,5.0,94.68,4,400000.0,7,60
Hyundai Verna VTVT 1.6 SX,866000,37800,3.0,0,1,17.0,1591,151.0,5.0,121.3,7,756554.9200000002,9,132
Tata Indigo CS LS (TDI) BS-III,375000,100000,2.0,0,1,19.09,1405,135.0,5.0,69.01,8,294846.75,23,73
Hyundai Verna 1.6 SX,522000,150000,2.0,0,2,22.32,1582,259.8,5.0,126.32,11,383460.6258,9,132
Hyundai i20 Magna 1.4 CRDi (Diesel),451999,69000,2.0,0,1,21.9,1396,219.6,5.0,88.76,11,402772.87370760005,9,148
Toyota Corolla Altis G,300000,100000,3.0,0,2,14.53,1798,173.0,5.0,138.1,15,191382.345,24,36
Maruti Celerio VXI,475000,13000,3.0,0,1,21.63,998,90.0,5.0,67.04,4,475000.0,17,30
Maruti Vitara Brezza ZDi Plus Dual Tone,780000,60000,2.0,0,1,24.3,1248,200.0,5.0,88.5,8,735937.4880000001,17,133
Maruti Swift Dzire VXI,595000,40000,3.0,0,1,20.85,1197,115.0,5.0,83.14,7,595000.0,17,122
Maruti Wagon R VXI BS IV,440000,35000,3.0,0,1,20.51,998,90.0,5.0,67.04,7,440000.0,17,135
Nissan Terrano XL 85 PS,400000,70000,2.0,0,3,20.45,1461,200.0,5.0,83.8,10,325939.68,20,125
Hyundai Creta 1.6 CRDi SX,1140000,50000,2.0,0,1,19.67,1582,259.9,5.0,126.2,8,860118.6000000001,9,37
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,850000,76139,2.0,0,1,23.0,1498,205.0,5.0,98.96,7,801983.1600000003,7,46
Maruti Swift Dzire VDi,370000,175000,2.0,0,4,19.3,1248,190.0,5.0,73.9,12,224798.31000000003,17,122
Maruti Celerio VXI,360000,40000,3.0,0,2,23.1,998,90.0,5.0,67.04,9,348872.8320000001,17,30
Maruti Alto LXi,105000,65000,3.0,0,4,19.7,796,62.0,5.0,46.3,16,61779.564000000006,17,10
Maruti Ertiga VDI,625000,90000,2.0,0,2,20.77,1248,200.0,7.0,88.76,11,558198.50625,17,53
Hyundai Santro Xing GLS,135000,80000,3.0,0,2,17.92,1086,96.1,5.0,62.1,15,110800.30500000002,9,113
Maruti Ertiga VDI,700000,110000,2.0,0,2,20.77,1248,200.0,7.0,88.76,9,661957.7580000001,17,53
Honda Amaze S i-VTEC,690000,1303,3.0,0,1,17.8,1198,109.0,5.0,86.7,5,690000.0,8,11
Lexus ES 300h,5150000,20000,3.0,1,1,22.37,2487,202.0,5.0,214.56,5,5150000.0,15,45
Land Rover Discovery Sport TD4 SE,4500000,21000,2.0,1,1,12.83,1999,382.0,7.0,148.31,5,4500000.0,14,106
Mercedes-Benz S-Class S 350 CDI,6000000,37000,2.0,1,1,13.5,2987,620.0,5.0,254.79,7,5462424.0,18,107
BMW 5 Series 520d Sport Line,3790000,29500,2.0,1,1,22.48,1995,400.0,5.0,187.74,6,3790000.0,2,1
Skoda Superb LK 1.8 TSI AT,1864999,50000,3.0,1,1,14.67,1798,250.0,5.0,177.46,6,1697902.5495960007,22,121
Honda City i-VTEC CVT VX,795000,41000,3.0,1,1,18.0,1497,145.0,5.0,117.6,7,795000.0,8,32
Toyota Corolla Altis 1.8 G CVT,625000,39000,3.0,1,1,14.28,1798,173.0,5.0,138.03,11,569002.5000000002,24,36
Audi Q7 35 TDI Quattro Premium,2650000,53000,2.0,1,1,12.07,2967,550.0,7.0,241.4,9,2279879.2170000006,1,102
Maruti Ciaz ZDi,535000,40000,2.0,0,1,26.21,1248,200.0,5.0,88.5,9,535000.0,17,31
Hyundai Elantra S,805000,49900,3.0,0,1,16.3,1797,177.5,5.0,147.5,8,703264.1000000001,9,49
Tata Nexon 1.2 Revotron XZ Plus Dual Tone,811000,11000,3.0,0,1,17.0,1198,170.0,5.0,108.5,6,811000.0,23,90
Volkswagen Vento Petrol Highline,375000,49000,3.0,0,1,15.04,1598,153.0,5.0,103.6,13,327607.5,25,129
Hyundai Elantra SX,550000,95000,3.0,0,1,16.3,1797,177.5,5.0,147.5,12,408417.3500000001,9,49
Skoda Rapid 1.6 MPI AT Elegance,645000,11000,3.0,1,1,14.3,1598,153.0,5.0,103.5,8,587210.5800000001,22,103
Maruti Ertiga ZXI,599000,46100,3.0,0,1,16.02,1373,130.0,7.0,93.7,10,599000.0,17,53
Mercedes-Benz New C-Class C 200 AVANTGARDE,2700000,16000,3.0,1,1,14.74,1991,300.0,5.0,181.04,7,2458090.8,18,89
Honda City V AT,875000,18000,3.0,1,1,15.6,1497,146.0,5.0,116.3,7,875000.0,8,32
Toyota Glanza V CVT,894999,9654,3.0,1,1,19.56,1197,113.0,5.0,81.8,5,894999.0,24,65
Maruti Alto K10 VXI,175000,11000,3.0,0,1,23.95,998,90.0,5.0,67.05,13,175000.0,17,10
Maruti Swift VXI,340000,24300,3.0,0,1,21.21,1197,113.0,5.0,81.8,12,340000.0,17,122
Toyota Innova Crysta 2.8 ZX AT BSIV,1525000,42163,2.0,1,2,11.36,2755,360.0,7.0,171.5,8,1391521.4775,24,74
Tata Nexon 1.5 Revotorq XZA Plus DualTone,1025000,8000,2.0,1,1,21.5,1497,260.0,5.0,108.5,6,1025000.0,23,90
Toyota Camry 2.5 Hybrid,1900000,41000,3.0,1,1,19.16,2494,213.0,5.0,157.7,8,1900000.0,24,27
Toyota Camry W4 (AT),450000,71000,3.0,1,1,12.1,2362,224.0,5.0,164.7,15,403213.14000000013,24,27
Maruti Ertiga BSIV ZXI Plus,850000,20000,3.0,0,1,17.5,1373,130.0,7.0,91.1,8,850000.0,17,53
Volkswagen Vento Diesel Highline,300000,100000,2.0,0,2,20.54,1598,250.0,5.0,103.6,13,220379.66999999998,25,129
Ford Figo Aspire 1.2 Ti-VCT Trend,575000,9500,3.0,0,1,18.16,1196,112.0,5.0,86.8,6,575000.0,7,57
Maruti Swift VXI Optional,515000,36600,3.0,0,1,20.4,1197,113.0,5.0,81.8,9,515000.0,17,122
Hyundai i20 Magna 1.2,550000,14000,3.0,0,2,18.6,1197,114.7,5.0,81.83,8,531069.0000000001,9,148
Maruti Ritz VDi,220000,120000,2.0,0,1,21.1,1248,113.0,5.0,73.9,14,196040.32800000004,17,105
Maruti Swift Dzire VXI,487000,35000,3.0,0,1,19.1,1197,114.0,5.0,85.8,10,487000.0,17,122
Toyota Corolla Altis Diesel D4DG,300000,60000,2.0,0,1,21.43,1364,205.0,5.0,87.2,14,267327.72000000003,24,36
Toyota Fortuner 4x2 Manual,1750000,30000,2.0,0,2,13.0,2982,343.0,7.0,168.5,10,1379078.6625,24,59
Maruti Wagon R VXI BS IV with ABS,215000,120600,3.0,0,2,18.9,998,90.0,5.0,67.1,14,147584.51400000002,17,135
Hyundai Verna Transform SX VTVT,320000,100000,3.0,0,3,16.2,1599,14.9,5.0,103.2,14,205221.28,9,132
Maruti Swift Dzire VXI,459999,60000,3.0,0,2,20.85,1197,115.0,5.0,83.14,8,459999.0,17,122
Hyundai Elite i20 Sportz Plus BSIV,720000,5000,3.0,0,1,18.6,1197,117.0,5.0,81.86,4,720000.0,9,50
Maruti Ciaz 1.3 Alpha,800000,37000,2.0,0,1,28.09,1248,200.0,5.0,88.5,7,800000.0,17,31
Maruti Ertiga VDI,580000,70000,2.0,0,1,20.77,1248,200.0,7.0,88.76,9,574597.3464000002,17,53
Honda City i VTEC S,600000,50000,3.0,0,1,17.4,1497,145.0,5.0,117.3,9,600000.0,8,32
Honda Brio S MT,290000,60000,3.0,0,2,19.4,1198,109.0,5.0,86.8,10,252016.38000000006,8,24
Maruti Wagon R LXI CNG,360000,50000,,0,1,26.6,998,77.0,5.0,58.16,8,332259.8400000001,17,135
Maruti Swift Dzire VXI,550000,50000,3.0,0,1,20.85,1197,115.0,5.0,83.14,7,550000.0,17,122
Hyundai i20 Sportz 1.2,375000,70000,3.0,0,1,18.5,1197,113.7,5.0,82.85,11,322434.75000000006,9,148
Maruti Swift Dzire VXI 1.2,550000,20000,3.0,0,1,21.21,1197,113.0,5.0,81.8,7,550000.0,17,122
Maruti Alto 800 LXI,270000,20000,3.0,0,1,24.7,796,69.0,5.0,47.3,6,270000.0,17,10
Maruti Swift Dzire AMT VXI BS IV,700000,7800,3.0,1,1,22.0,1197,113.0,5.0,81.8,6,700000.0,17,122
Maruti Swift VXI Optional,500000,20000,3.0,0,1,20.4,1197,113.0,5.0,81.8,7,500000.0,17,122
Tata Hexa XE,1250000,15000,2.0,0,1,17.6,2179,320.0,7.0,147.94,5,1250000.0,23,70
Hyundai i20 Magna,320000,31377,3.0,0,2,18.5,1197,113.7,5.0,82.85,11,308985.60000000003,9,148
Maruti Swift Dzire VDI,700000,50000,2.0,0,1,28.4,1248,190.0,5.0,74.02,6,700000.0,17,122
Maruti Wagon R VXI BS IV,290000,60000,3.0,0,1,20.51,998,90.0,5.0,67.04,9,264977.2224000001,17,135
Toyota Corolla Altis 1.8 VL AT,550000,100000,3.0,1,1,14.53,1794,173.0,5.0,138.1,12,425613.87000000005,24,36
Honda Brio S MT,265000,60000,3.0,0,1,19.4,1198,109.0,5.0,86.8,12,227853.89000000007,8,24
Maruti Baleno Alpha Automatic,830000,5000,3.0,1,1,21.4,1197,115.0,5.0,83.1,6,830000.0,17,20
Tata Safari Storme EX,800000,60000,2.0,0,1,14.1,2179,320.0,7.0,147.94,7,594411.0480000001,23,110
Maruti Alto LXi,160000,25000,3.0,0,2,19.7,796,62.0,5.0,46.3,13,129212.16,17,10
Renault KWID RXT,335000,30000,3.0,0,1,25.17,799,72.0,5.0,53.3,6,335000.0,21,77
Maruti Vitara Brezza VDi Option,775000,75000,2.0,0,1,24.3,1248,200.0,5.0,88.5,7,731219.9400000002,17,133
Hyundai Xcent 1.2 VTVT SX,524000,32000,3.0,0,1,20.14,1197,113.75,5.0,81.86,4,524000.0,9,140
Maruti Alto 800 LXI,245000,40000,3.0,0,1,22.74,796,69.0,5.0,47.3,9,245000.0,17,10
Tata Zest Revotron 1.2 XT,520000,60000,3.0,0,1,17.57,1193,140.0,5.0,88.7,6,473410.0800000002,23,146
Nissan Sunny XL,550000,37000,3.0,0,1,16.95,1498,134.0,5.0,97.7,10,550000.0,20,120
Ford EcoSport 1.5 Petrol Titanium Plus BSIV,910000,15000,3.0,0,1,17.0,1497,150.0,5.0,121.36,6,910000.0,7,46
Nissan Micra Active XV S,300000,80000,3.0,0,1,19.49,1198,104.0,5.0,67.04,9,273121.2,20,86
Maruti Wagon R LXI Optional,350000,140000,3.0,0,1,20.51,998,90.0,5.0,67.04,8,319800.09600000014,17,135
Maruti Ritz LDi,250000,110000,2.0,0,2,21.1,1248,190.0,5.0,73.9,14,212647.05000000002,17,105
Hyundai Creta 1.6 CRDi SX Plus Dual Tone,1100000,37000,2.0,0,1,19.67,1582,259.9,5.0,126.2,7,829939.0000000001,9,37
Renault KWID RXT,270000,44000,3.0,0,1,25.17,799,72.0,5.0,53.3,8,270000.0,21,77
Maruti Ertiga VDI,640000,80000,2.0,0,1,20.77,1248,200.0,7.0,88.76,9,634038.4512000002,17,53
Hyundai Santro Xing GLS,165000,75000,3.0,0,1,17.92,1086,96.1,5.0,62.1,13,141871.29,9,113
Toyota Innova 2.5 EV (Diesel) PS 7 Seater BS IV,700000,70000,2.0,0,1,12.99,2494,200.0,7.0,100.57,11,491214.6855000001,24,74
Honda Amaze S CVT Petrol BSIV,680000,15000,3.0,1,1,19.0,1199,110.0,5.0,88.76,5,680000.0,8,11
Hyundai i10 Sportz 1.2,200000,53000,3.0,0,2,20.36,1197,111.8,5.0,78.9,15,196978.32000000004,9,147
Maruti Ertiga SHVS ZDI Plus,1000000,70000,2.0,0,1,24.52,1248,200.0,7.0,88.5,8,990685.0800000003,17,53
Hyundai Getz 1.3 GVS,110000,120000,3.0,0,2,14.2,1341,11.8,5.0,82.9,16,81253.557,9,64
Maruti Swift LXI Optional-O,350000,100000,3.0,0,1,20.4,1197,113.0,5.0,83.11,9,350000.0,17,122
Hyundai i20 2015-2017 Asta 1.4 CRDi,800000,39000,2.0,0,1,22.54,1396,219.7,5.0,88.73,7,800000.0,9,148
Tata Hexa XTA,1380000,50000,2.0,1,1,17.6,2179,400.0,7.0,153.86,7,1380000.0,23,70
Hyundai Verna 1.6 CRDI,530000,92500,2.0,0,1,22.32,1582,259.9,5.0,126.3,11,407877.29400000005,9,132
Maruti Swift Dzire LDi,310000,120000,2.0,0,1,19.3,1248,190.0,5.0,73.9,12,230198.87000000005,17,122
Honda City i DTEC V,725000,50000,2.0,0,2,26.0,1498,200.0,5.0,98.6,9,725000.0,8,32
Maruti Swift Dzire ZDi,340000,110000,2.0,0,1,19.3,1248,190.0,5.0,73.9,12,252476.18000000002,17,122
Hyundai Xcent 1.2 CRDi E,550000,2000,2.0,0,2,25.4,1186,190.25,5.0,73.97,7,550000.0,9,140
Nissan Sunny XL AT Special Edition,350000,90000,3.0,1,2,17.97,1498,134.0,5.0,99.6,11,332616.9,20,120
Hyundai Elite i20 Magna Plus BSIV,610000,2000,3.0,0,1,18.6,1197,117.0,5.0,81.86,5,610000.0,9,50
Maruti Swift Dzire VXI,525000,20000,3.0,0,1,20.85,1197,115.0,5.0,83.14,9,525000.0,17,122
Maruti Swift Dzire ZDi,320000,193000,2.0,0,1,19.3,1248,190.0,5.0,73.9,12,237624.64000000007,17,122
Maruti Swift 1.2 DLX (Only Delhi),375000,80000,3.0,0,1,20.4,1197,113.0,5.0,81.8,10,375000.0,17,122
Datsun GO D Petrol,300000,40000,3.0,0,1,19.02,1198,104.0,5.0,67.05,5,300000.0,4,62
Hyundai i20 Asta 1.4 CRDi,500000,70000,2.0,0,4,22.54,1396,219.7,5.0,88.73,9,385981.20000000007,9,148
Tata Sumo Gold EX BSIII,500000,75000,2.0,0,1,14.07,2956,223.0,7.0,69.01,9,371506.905,23,119
Tata Zest Revotron 1.2 XT,380000,40000,3.0,0,1,17.57,1193,140.0,5.0,88.7,9,380000.0,23,146
Honda Brio Exclusive Edition,335000,33033,3.0,0,1,19.4,1198,109.0,5.0,86.8,10,335000.0,8,24
Tata Manza Club Class Quadrajet90 LX,290000,60000,2.0,0,1,21.02,1248,200.0,5.0,88.76,12,258416.79600000006,23,85
Maruti Alto LX,110000,45000,3.0,0,2,19.7,796,62.0,5.0,46.3,19,88833.36000000002,17,10
Tata New Safari DICOR 2.2 EX 4x2,450000,80000,2.0,0,3,11.57,2179,320.0,7.0,138.1,13,272719.841625,23,89
Maruti Omni E MPI STD BS IV,220000,35000,3.0,0,1,16.8,796,59.0,8.0,34.2,8,195433.39200000008,17,92
Hyundai i10 Sportz AT,290000,50000,3.0,1,1,16.95,1197,111.8,5.0,78.9,11,290000.0,9,147
Maruti Swift VXI Deca,520000,20000,3.0,0,1,20.4,1197,113.0,5.0,81.8,8,520000.0,17,122
Hyundai i10 Sportz AT,265000,20000,3.0,1,1,16.95,1197,111.8,5.0,78.9,13,265000.0,9,147
Maruti Swift VXI,330000,50000,3.0,0,2,18.6,1197,114.0,5.0,85.8,12,318641.4,17,122
Maruti Swift VXI,330000,50000,3.0,0,2,18.6,1197,114.0,5.0,85.8,12,318641.4,17,122
Mahindra Bolero 2011-2019 ZLX,509999,120000,2.0,0,1,15.96,2523,195.0,7.0,62.1,10,421040.3334291001,16,22
Hyundai Verna 1.6 SX VTVT (O),500000,70000,3.0,0,1,17.1,1591,154.9,5.0,121.3,10,393129.0000000001,9,132
Hyundai i20 Active 1.2,525000,50000,3.0,0,1,17.19,1197,114.73,5.0,81.86,9,525000.0,9,148
Maruti Baleno Zeta,675000,16500,3.0,0,1,21.01,1197,113.0,5.0,81.8,5,675000.0,17,20
Maruti Alto LXI,90000,99361,3.0,0,2,19.7,796,62.0,5.0,46.3,19,61779.564,17,10
Maruti Swift Dzire VXI,409000,70000,3.0,0,2,19.1,1197,114.0,5.0,85.8,10,355429.998,17,122
Maruti Swift Dzire VXI,400000,70000,3.0,0,2,19.1,1197,114.0,5.0,85.8,10,347608.80000000005,17,122
Chevrolet Beat LS,120000,60000,3.0,0,3,18.6,1199,108.0,5.0,79.4,12,89109.24000000002,3,21
Honda City i-DTEC VX,1300000,30000,2.0,0,1,25.6,1498,200.0,5.0,97.9,7,1300000.0,8,32
Honda City i-DTEC VX,1250000,33000,2.0,0,1,25.6,1498,200.0,5.0,97.9,7,1250000.0,8,32
Maruti Ertiga VXI,535000,90000,3.0,0,3,16.02,1373,130.0,7.0,93.7,11,417142.62975000014,17,53
Nissan Terrano XV Premium 110 PS,555000,80100,2.0,0,2,19.01,1461,248.0,5.0,108.5,10,416538.04500000004,20,125
Honda City i VTEC VX,725000,120000,3.0,0,1,17.4,1497,145.0,5.0,117.3,10,660042.9000000001,8,32
Renault KWID RXL,229999,40000,3.0,0,1,25.17,799,72.0,5.0,53.3,8,229999.0,21,77
Toyota Innova 2.5 GX (Diesel) 8 Seater,800000,160000,2.0,0,2,12.99,2494,200.0,8.0,100.6,11,535870.5660000001,24,74
Maruti Wagon R VXI BS IV,409999,47000,3.0,0,1,20.51,998,90.0,5.0,67.04,7,409999.0,17,135
Hyundai Creta 1.4 CRDi S Plus,1210000,25000,2.0,0,1,21.38,1396,219.7,5.0,88.7,6,1210000.0,9,37
Hyundai Grand i10 1.2 CRDi Sportz,520000,29000,2.0,0,1,24.0,1186,190.24,5.0,73.97,6,520000.0,9,66
Maruti Baleno Zeta Automatic,650000,50000,3.0,1,1,21.4,1197,115.0,5.0,83.1,8,650000.0,17,20
Maruti Swift ZXI ABS,325000,58000,3.0,0,3,16.1,1298,11.5,5.0,88.2,13,241337.525,17,122
Maruti Swift Dzire VXi AT,420000,120000,3.0,1,1,17.4,1197,114.0,5.0,85.8,12,418146.9600000002,17,122
Maruti Swift LXI Option,400000,50000,3.0,0,1,20.4,1197,113.0,5.0,81.8,10,400000.0,17,122
Maruti Celerio LXI,351000,36000,3.0,0,1,23.1,998,90.0,5.0,67.04,7,351000.0,17,30
Maruti Ritz LDi,185000,185000,2.0,0,3,21.1,1248,190.0,5.0,73.9,13,142372.263,17,105
